counter,Number present,Missing,source,Binomial,rpl1p,rpl3,rpl4,rpl5,rpl6,rpl7,rpl7a,rpl7x1,rpl7x2,rpl8,rpl9,rpl10,rpl10a,rpl11,rpl12,rpl13,rpl13a,rpl14 mito,rpl14reg,rpl15,rpl17,rpl18a,rpl18,rpl19,rpl21,rpl22,rpl23,rpl23a,rpl23z,rpl24,rpl26,rpl27,rpl30,rpl31,rpl32,rpl33mito,rpL34,rpl35,rpl35a,rpl36e,rpl37,rpl42,rps0,rps2,rpS3,rps3z,rps4,rps5,rps6,rps7,rps8,rps9,rps10,rps11,rps12m,rps13,rps14,rps15,rps15a,rps16,rps17,rps18,rps19,rps20,rps21,rps23,rps24,rps25,rps26a,rps27,rps28,rps29,rps30
0,69,4,refseq,Blastocystis hominis,300121623,300121321,300120651,300121376,300175079,300123775,300121690,300122397,300120771,300120652,300123641,300122711,300122045,300120467,300120694,300120231,300175553,NaN,300176648,300120208,300122360,300123834,300175904,300120773,300120131,300176174,300175094,300176861,300120865,300122713,300176711,300120640,300120938,300122331,300176590,NaN,300120255,300120802,NaN,300176953,300175203,NaN,300123321,300175242,300123783,300121261,300121745,300123552,300120286,300176377,300123178,300120128,300123508,300120047,300120959,300122353,300120857,300123884,300121926,300120418,300122513,300121915,300123350,300175943,300120174,300120089,300123364,300120352,300176467,300122460,300175324,300121360,300121697
1,43,30,db_est,Schizochytrium sp.,NaN,148525023,148526412,NaN,NaN,NaN,NaN,NaN,148526273,NaN,148527329,148526231,148526066,NaN,148527430,148527046,NaN,NaN,NaN,148528401,148528779,148525307,148525157,148526593,148525604,148526984,148525416,148525850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148526896,148526451,148526280,148527155,148527398,148528535,NaN,148528724,148525474,148527173,148528513,148525185,148528255,NaN,148525414,148527088,148528843,148525794,148525177,NaN,NaN,148526908,148525268,NaN,148528193,NaN,NaN,NaN,148528771,148525859,148525870,NaN,148527494,148527620,NaN,148526039,NaN
2,64,9,nr_nt,Saprolegnia parasitica,NaN,288565300,288565310,288565264,76445342,288565280,288565305,NaN,288565264,76444683,288565305,288564919,288565298,2885652942,76444074,288565256,76444495,NaN,288565264,2885652832,288565296,288565289,288565298,288565133,288565174,288565288,288565278,NaN,NaN,288565259,288565310,288565255,288565203,76444528_2,288565231,NaN,288565269,288565312,288565245,288565310,NaN,NaN,288565203,288565303,288565292,288565277,288565309,NaN,288565300,288565222,288565228,288565190,288565283,288565300,288565300,288565284,288565238,288565312,288563981,288565223,288565283,88565196,288565257,288565279,76444743,288565311,76444582,288565312,288565313,76445230,288565294,76445129,76445143
3,65,8,db_est,Aphanomyces cochliodes,NaN,144586376,144585996,144584865,144585846,144583925,144584479,NaN,144585611,144584867,144586316,144583834,144586556,144585289,144584259,144586090,144585511,NaN,144584831,144584408,144585455,NaN,144584568,144584944,144584433,144585084,144586397,144584755,NaN,NaN,144585302,144585878,144584041,144586824,144584007,NaN,144584578,144584798,144586979,144587349,144584596,144584336,144585561,144584470,144584996,NaN,144586399,144584087,144584815,144586566,144586859,144584562,144584730,144584533,144585937,144583962,144587385,144586323,144584620,144585814,144587075,144586771,144586352,144584948,144584603,144584643,144584485,144585778,144584651,144583902,144585205,144584111,144584046
4,15,58,nr_nt,Aphanomyces euteiches,NaN,166040871,166043265,166040803,166042579,166039156,NaN,NaN,166038692,166039078,NaN,NaN,166042839,NaN,NaN,166035797,NaN,NaN,NaN,NaN,NaN,166052925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,166037720,166042590,NaN,166047228,166034569,166044009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,50,23,db_est,Albugo candida,353410265,353399047,353419334,353368424,353355361,353433310,353392492,NaN,353353534,353384259,353405843,353368318,353383032,353429361,353388456,353392195,NaN,NaN,353409472,353369649,353432703,NaN,353414299,353407604,353356490,NaN,353354415,353368331,NaN,353368298,353377450,353417017,NaN,NaN,353369725,NaN,NaN,353410671,353408551,353373652,353372584,NaN,353405467,NaN,NaN,353408161,353384333,353364396,NaN,353363206,NaN,353378739,353385762,353374271,353380898,NaN,353428364,NaN,353389630,NaN,353386289,NaN,353413702,NaN,NaN,353370779,353399025,353427593,353405849,353361290,NaN,NaN,353356925
6,65,8,refseq,Albugo laibachii,325188926,325184995,325183777,325186379,325192297,NaN,325184411,NaN,325190177,325182867,325186734,325188278,325186011,325186976,325193685,325179824,NaN,NaN,325186380,325186477,325188353,325187790,325181748,325189036,325180167,325183057,325186350,325189571,325190029,325181659,325184162,325189767,325187763,325187519,325190962,325185165,325182723,325190096,325181117,325189853,NaN,325184640,325179525,325181905,325183243,325183864,325184655,325189713,325188645,325189119,325187856,325188058,325180683,325184912,325183412,325182189,325184044,325190185,325187276,325190343,325183337,325182081,325188132,NaN,325187864,325184307,325188695,325185071,325186631,NaN,325183099,NaN,325190270
7,56,17,db_est,Pythium oligandrum,NaN,166256366,NaN,NaN,166333891,166321967,NaN,NaN,166258443,166333887,166296685,166332953,166264989,166249531,166262040,166282064,166337052,NaN,166293251,166249511,166327759,NaN,166333354,NaN,166254658,NaN,166296677,166259023,NaN,NaN,166301475,166258494,166252292,166339658,166332813,NaN,166305923,NaN,NaN,166333232,166264988,166296312,NaN,166299538,166284351,166325859,166294040,166258729,166254314,NaN,166249504,166259004,166299370,166322194,166332687,166309230,166341412,166254661,166249895,166266582,166266275,166301670,166309401,166340024,166255015,166250262,166261999,166266276,166314727,166337452,166296870,NaN,166252979
8,64,9,db_est,Pythium ultimum,148604286,148599180,148602100,148598784,207514863,148602828,207416984,NaN,148604819,148607237,148603918,148606290,207466037,207431524,148600935,148600888,207401930,NaN,NaN,148598531,148599291_2,148605475,148600069,148602669,148603878,148604040,148600620,148604018,NaN,NaN,207406705,148603673,148601535,207521430,148605076,NaN,207455580,207470425,148602605,148599034,207469703,207386697,148602550,148602154,148604019,148599344,148605911,148601848,148605015,148600595,148604708,207426644,NaN,148605930,207436613,148598628,148603992,148605236,148604285,148604686,148600483,148603441,148604954,207413790,207451144,207374287,207465123,NaN,148606481,207393473,NaN,207468984,148600504
9,68,5,db_est,Phytophthora brassicae,NaN,144598690,144592724,144590793,144598759,144590710,144594965,NaN,144589719,144590660,144592636,144590270,144593572,144591256,144589629,144598710,144589610,NaN,144594357,144593601,144591292,144596502,144596550,144595944,144591166,144595955,144590680,144597846,NaN,144599283,144598023,144593428,144599127,144600124,144596760,NaN,144597265,144593576,144594436,144595140,144589180,144592067,144598657,144589027,144595928,144590584,144597004,144597470,144600184,144598675,144599951,144597895,144592151,144598701,144591441,144592532,144588519,144599584,144593493,144597577,144590859,144594197,144595773,144596234,144590079,144596868,144597614,144593711,144592820,144595037,144594850,144597550,144590206
10,66,7,db_est,Phytophthora sojae,38115149,38059653,NaN,38061054,38060956,38062821,38114521,NaN,38057739,38064782,38064304,38057431,38057781,38118841,38063490,38071568,38066493,NaN,38114575,38117276,38116848,38117694,38060401,9835882,38060366,38113384,38118939,38070845,NaN,NaN,38114242,38113256,38067411,38059067,38119667,NaN,38117883,38071405,38064216,38115275,38056318,38066317,38059671,38057391,38119266,38066971,38060985,38117924,38061930,38119523,38118559,38059487,38071982,38066507,38059328,38056806,38071187,38071422,9834404,38064128,38056625,38063816,38056905,38061894,9833724,38056250,38116916,38115069,38119525,38055203,NaN,38057038,38113100
11,66,7,db_est,Phytophthora capsici,186823951,186714637,186800021,186832541,186816241,186724317,NaN,NaN,186740154,186725096,186762265,186870786,186779240,186709085,186814496,186755690,186783814,NaN,186864345,186712006,186748676,186804495,186726659,186764697,186710125,186718729,186774035,186717184,NaN,NaN,186737274,186857269,186826147,186708063,186749486,NaN,186719598,186744752,186737994,186790055,186724842,186879397,186729525,186794415,186824117,186740026,186756692,186730134,186791910,186786574,186715277,186810101,186798498,186814065,186833551,186735394,186730044,186761895,186736742,186832809,186709702,186819198,186766422,186846735,186845220,186748324,186731182,186811160,186726061,186740218,NaN,186748926,186731909
12,68,5,refseq,Phytophthora infestans,301103448,301093682,301111776,301090987,301117978,301117634,301092737,NaN,301112246,301113256,301117072,301093175,301127992,301097764,301107592,301115634,301121418,NaN,301090989,301119533,301117396,301097025,301105579,301108189,301123509,301123677,301121610,301119741,301108161,301092712,NaN,301117182,301123397,301101838,301105188,301109667,301098543,301112306,301117174,301107410,301107624,301114179,301121570,301107179,301104382,301107834,301101263,301109072,301122631,301099911,301121814,301108221,301122321,301105230,301122155,301090694,301091063,301112104,301095995,301099993,301102095,301117146,301108007,NaN,301108027,301102827,301111366,301101744,301101547,301097393,NaN,301122967,301092105
13,26,47,db_est,Nannochloropsis oculata,NaN,110744504,NaN,NaN,NaN,110745854,NaN,NaN,110746097,NaN,110744423,NaN,NaN,110744299,110745366,NaN,110744501,NaN,110745333,NaN,NaN,110745835,NaN,110746010,NaN,NaN,110745768,110745404,NaN,NaN,110744361,NaN,NaN,NaN,110745397,NaN,NaN,110745279,NaN,NaN,110744370,NaN,NaN,NaN,110745583,NaN,NaN,110745684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,110744362,NaN,110745373,110744288,NaN,110744478,NaN,NaN,NaN,110744276,NaN,NaN,110745470,110744855,NaN,110744422,NaN,NaN
14,70,3,www,Nannochloropsis gaditana,Nga00754,Nga06610,Nga04207,Nga01963,Nga02302,Nga02289,Nga04485,Nga30859,Nga30859,Nga30413,Nga02008,Nga04477,Nga31063,Nga01292,Nga00660,Nga04410,Nga00086,NaN,Nga00519,Nga06279,Nga00226,Nga02568,Nga04045,Nga01969,Nga06523,Nga06537.01,Nga02758,Nga30902,Nga03649,Nga02333.1,Nga00281,Nga05420.01,Nga00924,Nga04455,Nga02962,NaN,Nga03751.01,Nga03904,Nga02499.01,Nga04463.1,Nga06855,Nga06433,Nga04881,Nga01334.01,Nga30875,Nga05253,Nga00001,Nga02153,Nga00422,Nga03921.1,Nga20970,Nga07293,Nga05946,Nga04299.01,Nga07199,Nga06519,Nga03898,Nga03274,Nga05624,Nga00558,Nga06012,Nga00480,Nga05866,Nga06781,Nga02509,Nga01804,Nga02923,Nga03112,Nga03158,Nga31100,Nga05436,NaN,Nga21145
15,60,13,db_est,Laminaria digitata,NaN,62990780,62991511,62990567,62992145,62990876,62991416,NaN,NaN,62991555,62991897,62990416,62991298,62990732,62991249,62991035,62990934,NaN,62990616,62991512,62990457,6919581,62991644,62991004,6918903,6919111,62991256,62990663,NaN,62990984,62991134,62991107,NaN,6919340,NaN,NaN,62991194,6919527,6919206,178514523,6919258,62991584,6919208,62991735,62990952,62991268,62991314,62991015,62991163,62991343,62990536,62991488,62991779,62991447,62991368,62991525,62990824,NaN,62990540,NaN,62991094,6919492,62991090,62990479,NaN,NaN,62990631,62991536,62991742,62991259,62991370,NaN,62990729
16,67,6,refseq,Ectocarpus siliculosus,NaN,298705189,298712581,299473296,298713555,299116658,2987128372,NaN,299470158,298715558,299470032,299115447,299472656,298707505,298708136,298715038,298714763,NaN,298705413,299472638,298709755,299472067,298707282,299471771,299470969,NaN,299115573,298707885,298706595,298711638,298715484,298706867,299116702,299470845,299473613,298705528,299470138,299471839,298711973,298708446,298705059,298710708,298705166,298711383,298706370,298714483,298707012,298712679,298715232,298713550,298705066,299469776,NaN,298708385,298705060,298705943,298711478,298711029,298713296,298708001,298711489,299115551,298707982,298707100,298710544,298709974,298708337,NaN,299117248,298709870,298708862,298705984,299471121
17,58,15,db_est,Fucus serratus,NaN,229050774,229059094,229063480,229058643,229057396,229049412,NaN,229063717,229049248,229049019,229059284,229063289,229034879,229059278,229059090,229058503,NaN,229063499,229054758,229050581,229035553,229063423,229053675,229051913,229063411,229034476,229063150,NaN,NaN,229054423,229063437,229054417,229054377,229049407,NaN,229064329,229033769,229034872,NaN,229050219,NaN,NaN,229052320,229033245,229054403,229049025,229054209,229053834,229034703,229053073,229033899,229049607,229054013,229049239,229056034,NaN,NaN,229052666,229066194,NaN,29063352,NaN,229053275,NaN,229052716,229051948,229057949,229055527,229055828,NaN,229048986,229052869
18,56,17,db_est,Sargassum binderi,NaN,120454651,120455579,120456344,NaN,120454361,NaN,NaN,120455091,NaN,120455870,120453956,120455854,120454233,120454698,120454734,120454600,NaN,120455794,120454113,NaN,120453982,NaN,120455054,120455853,120454995,120456245,120455282,NaN,NaN,120456148,120454213,120454991,120456096,120456213,NaN,120456230,NaN,120455888,120454894,120454710,120455814,NaN,120456165,120453974,120454512,120455970,120455671,120455661,120454927,120455296,120455690,120456086,120454683,120455293,120453999,NaN,120454372,120454598,120456107,120453960,NaN,NaN,120454835,120454644,120454007,120454093,120456302,120455131,120454950,120454048,120456090,NaN
19,27,46,db_est,Pseudochattonella farcimen,NaN,NaN,NaN,319967123,319971385,319969541,319974199,NaN,319970697,NaN,319973754,NaN,NaN,319968731,319966400,319971177,NaN,NaN,NaN,NaN,NaN,319975828,NaN,319966187,NaN,319971800,319973817,NaN,NaN,319974310,NaN,319969145,NaN,NaN,319972860,NaN,NaN,NaN,NaN,319970164,NaN,NaN,NaN,319973523,319969149,NaN,319969192,NaN,NaN,319973097,NaN,319967498,NaN,NaN,319966150,NaN,NaN,NaN,NaN,NaN,NaN,319974168,NaN,NaN,NaN,319966434,319970167,319969349,NaN,NaN,NaN,NaN,NaN
20,65,8,refseq,Aureococcus anophagefferens,NaN,323455903,323452815,323456180,323453856,323455169,323453307,NaN,323456600,323450569,NaN,323451373,161655419,323449865,323455143,161663284,323454360,NaN,323451117,323452746,323450320,323450465,323452301,323450303,323449261,323454110,323450083,NaN,NaN,323456226,323449561,NaN,323449448,323451231,323456214,NaN,323450621,323446872,323446694,323449642,323451838,323449778,323451948,323448850,323448873,323450925,323457181,323455449,323448060,124289047,323449769,323450976,323450277,323447119,323446228,323449588,323445949,323448815,323453584,323449640,323454055,323455964,323446107,323449899,323451216,161681510,323449278,323452157,323452110,323451608,323457195,323451333,323449092
21,31,42,db_est,Chaetocerus neogracile,NaN,164413334,164411842,NaN,164412682,NaN,164413436,NaN,164412124,164412081,NaN,164413699,164411977,NaN,164413763,164412968,164414035,NaN,NaN,164414057,NaN,164413822,NaN,NaN,NaN,NaN,164413786,164414204,NaN,NaN,NaN,164412224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,164411821,164414221,164412417,NaN,164413122,164412988,164413560,164411825,1644122282,NaN,164413272,NaN,NaN,164411947,NaN,NaN,NaN,NaN,NaN,NaN,164412517,164413745,NaN,NaN,164412967,NaN,164412057,NaN,NaN,164413750,NaN
22,61,12,db_est,Fragilariopsis cylindrus,NaN,282267799,282256208,66749200,282251751,282256710,NaN,NaN,282250841,66749297,282252203,66748860,282257661,282265488,282253129,282265760,282254661,NaN,282266537,282261383,282263392,66748108,282254259,282253715,282263767,NaN,282259944,NaN,NaN,282262387,282257345,282262343,282253471,282253778,282267848,NaN,33631748,282265287,282257086,NaN,282261619,NaN,282250732,282254007,282266155,282261238,282252973,126701987,282256894,282250634,282250233,282253355,282252180,282264207,66748902,282252044,282250932,282268824,282250264,NaN,282261756,82260181,282259632,282250827,NaN,282255103,282250776,282257250,282252773,282262769,282259404,282252862,282264937
23,68,5,refseq,Pheodactylum tricornutum,NaN,219121047,219121527,219109995,219115179,219127531,219111843,NaN,219124105,219120975,219114991,219126015,219121904,219128162,219123555,219127073,219111933,NaN,219113413,219113025,219123900,219119939,219127695,219127371,219121266,219126748,219130102,31250518,219110943,219125075,219115247,219111389,219113427,219117729,219122924,NaN,219114755,219116753,219129482,219115277,219113753,219116612,219121660,219125370,219109971,219114717,219110737,219124101,219112999,219129995,219109816,219117986,NaN,219121838,219110859,219109723,219117562,219117369,219129321,219109953,219116332,19128444,219122566,219130719,219129087,219111577,219122014,219121298,219127204,219114298,219129555,219120851,219115079
24,66,7,refseq,Thallasiosira pseudonana,NaN,NaN,224000902,224011241,224008965,224011387,224003463,NaN,224007387,224009680,223995717,224001560,224003411,224000193,223996063,223999741,224000701,NaN,223995201,223993491,223997388,224000283,NaN,223995693,NaN,224002675,224007988,224003741,224003157,223999709,224001214,224010307,224006271,223996389,224007968,NaN,224000383,224008508,224007563,223999463,224001794,224001032,223997552,224007569,224011892,223999667,223996813,224009880,224009668,223996397,224009171,224000067,223999047,224000754,224010361,224000651,223993973,223997242,224007937,224000247,224014222,23994887,224001514,223999925,223999477,224000856,224002811,224009702,224003617,224009634,224013321,224009864,223994227
25,67,6,db_est,Sterkiella histriomuscorum,NaN,209380146_2,198393580_2,209383019_2,209370334_2,209384351,209382041_2,209391625_2,198394130_2,209368946,209391323_2,1983927022,2093725912,209368534,209386713_2,198397153,209370710_2,NaN,110061311_2,2093876582,209373300,198395902,110060869,NaN,198394539_2,110061223,209371004_2,110061538_2,NaN,209387983_2,110061150,209385263,209371430,198389401_2,198390556_2,NaN,110061325,209368155_2,110061385_2,198391785,209376112_2,209384713_2,209373649,209378082_3,209368548,209379046,110061592_2,209368341,198390691_2,110060849_2,209373234,209391156,110061229,110061277,198398197_2,110061456,198391475,110061601,110060908,110060680,209373407,110061685,110061354,110061139,110061186,110061128_2,209371276,110061568,110061103,110061414,209374046_2,110060445_2,NaN
26,30,43,db_est,Entodinium caudatum,NaN,152006447_2,152006787,152006449_2,152006450_2,152006451,NaN,NaN,NaN,1520064522,NaN,1520064423,152006780,NaN,NaN,NaN,152006444_2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,152006448_2,NaN,NaN,152006441_2,152006784_2,NaN,NaN,152006785,NaN,152007111,152006428,NaN,NaN,152006798,152006431,152006432_3,NaN,NaN,152006416,NaN,152006420,NaN,NaN,NaN,NaN,152006790_2,152006422,152006425,152006417,NaN,NaN,NaN,NaN,152006429,NaN,152006776,152006793,152006794,152006795,152006430
27,47,26,db_est,Nyctotherus ovalis,NaN,207851394,207849632,207849120_2,207850592,NaN,NaN,NaN,207854167,207850727,207849572,207853790,207849360,207852085,NaN,NaN,207850996,NaN,NaN,207853635,207852770,207851823,NaN,NaN,207853087,NaN,207849739,207854172_2,NaN,NaN,207850064,NaN,NaN,207849923_2,207853074,NaN,207854685,NaN,207850418_2,207854530,NaN,207853018,207851688,207852540_3,207851056_2,207853674,207850948,207854403,207854501,NaN,207851819,207851554,NaN,207851763,207852888_2,207854040,207853842,207851941,NaN,NaN,NaN,7850624,NaN,NaN,207850957,207854044_2,207849486,207852382,207849261,207852899,NaN,207849150,207852425_2
28,71,2,refseq,Paramecium tetraurelia,145545518,145475213,145490309,145506266,145513963,145510542,145491097,145551007,145525451,145516036,145500002,145479333,145510009,145488693,145476333,145513232,145503966,NaN,145490004,145515998,145497343,145515641,145489600,145502721,145521560,145537600,145475561,145480689,NaN,145534548,145513362,145513957,145529193,145486158,145475397,145542468,145488217,145523315,145476433,145509100,145485323,145486146,145549468,145480933,145499986,145536261,145528524,145530634,145526028,145518001,124088595,124088436,145513835,145519199,145548798,145516058,145523347,124088843,145483251,145529275,145510526,145539402,1454764512,145501548,145482265,124088230,145499383,145493750,145499572,145485534,145479451,124088317,145505097
29,48,25,db_est,Miamiensis avidis,NaN,84176765_2,NaN,84176467_2,84176954,84176903_2,NaN,NaN,84177124_2,84177090,84176369_2,841767253,841765782,841763432,84176365_2,NaN,NaN,NaN,NaN,841768332,84177177,84176879_2,84177151,84176384_2,84176466_2,NaN,84176924_2,NaN,NaN,NaN,84176953_2,NaN,NaN,NaN,84176816_2,NaN,NaN,NaN,84176544_2,NaN,NaN,NaN,84176448,NaN,84177166,84176734,84176575_2,84177099,84177244_2,84176991_2,84177139,84176908,84176567,NaN,84176389,84177211,84176368,84176694,NaN,84176486,84176928,84176404,84176628,84176862,84176424,84177128_2,84176362,NaN,84176610,84176675,84177094,84177218_2,84176881
30,21,52,db_est,Anophryoides haemophila,NaN,269113262_2,269107939_3,269110876_2,NaN,NaN,NaN,NaN,NaN,269107829,269106731_2,NaN,2691089742,NaN,269105928_2,269106805,269111864_2,NaN,NaN,2691059642,269105976,NaN,269105887,NaN,NaN,NaN,269111415_2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,269105637_2,NaN,269106380,269107467_3,NaN,NaN,269107624_2,NaN,269107734_2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,269110782,NaN,NaN,269106146,NaN,NaN,269110858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,68,5,refseq,Ichthyopthiriius multifiliis,340504357,340503599,340500272,340504171,340501807,133886137_2,340500679,340507318,340504204,340509142,340502369,340506735,340502199,340502895,340502198,133886190,340504790,NaN,340500599,340500358,133877221,340505500,340501541,340500240,340501066,340500546,340503720,340505617,NaN,340500448,340506311,340507520,340502645,340506010,340504350,NaN,133879033,340503320,133898461_2,340504251,340508410,NaN,340500146,133879780_3,133876752,340505471,340509077,340505052,340503161,340501770,340505755,340501236,340505131,340509292,340508424,340500112,340508192,20261067,340502503,340508654,340506524,340507221,3405046512,340503719,340505023,340502787,340501415,NaN,340502145,340503982,340500050,340505521,133879738
32,63,10,refseq,Tetrahymena thermophila,146143122,89309746,146145029,89293365,146144712,89285918,89308194,89307880,89286182,146142728,89284392,89294264,146146443,89295408,146146783,89304632,NaN,NaN,146143673,89284091,146145064,146145077,146145047,NaN,225566392,225565699,146145771,89301441,NaN,89304138,146145432,89308019,NaN,89285363,89294432,NaN,89303520,146146268,146142705,89308428,89284886,89291820,146145600,225565989,146145528,225566935,89303332,89291757,NaN,146143165,89284382,146146073,89308417,89284480,89291603,146142907,146143699,89297641,89295174,146146136,89307114,89301355,892857982,89285258,NaN,146146072,NaN,NaN,89300613,89284966,89294050,89288510,146143313
33,73,0,refseq,Perkinsus marinus,294877876,294954638,294882565,294950239,294942575,294904405,294943546,294925658,294897142,294892073,294953765,294901385,294890663,294942480,294892071,294888058,294898838,294891264,294885357,294886961,294874894,294942613,294887071,294943209,294912296,294936193,294886775,294936905,294950485,294879980,294927999,294896662,294953563,294944971,294883750,294893574,294867119,294894823,294886331,294882038,294942506,294930932,294940508,294947304,294868384,294932119,294889902,294874492,294886285,294944849,294953641,294900981,294892163,294873822,294890831,294944631,294886265,294935739,294880399,294933832,294952917,94872965,294943327,294948272,294886211,294878995,294872274,294932373,294883069,294868203,294934074,294872293,294888387
34,57,16,db_est,Oxyrrhis marina,NaN,117402940,117403469,117404183,117396256,117402821,NaN,NaN,117404168,117403942,117396585,117408491,117401166,117412343,117400608,117403852,117398585,NaN,NaN,117398834,117395565,117412739,117403778,117399735,117412015,NaN,117400028,117404084,NaN,117400419,117406108,117411400,117408659,117402588,117397162,NaN,117396356,NaN,117412325,NaN,NaN,117402909,117396584,117412910,117402473,117403628,117404079,117403760,117398795,117403161,117413167,117403844,117395496,117413199,117401865,NaN,117398718,117409995,117401376,117401374,117403078,117399468,117400780,NaN,117395509,117397218,117407567,NaN,117410490,NaN,117408545,NaN,117406824
